country,latitude,longitude
Netherlands,52.2434979,5.6343227
France,46.603354,1.8883335
Prussia (Poland),,
Switzerland,46.7985624,8.2319736
Prussia (Germany),52.517253,13.3927431
Schleswig (Germany),54.51851,9.5653284
Sweden,59.6749712,14.5208584
Norway,64.5731537,11.52803643954819
Faroe Islands (Denmark),,
United Kingdom,54.7023545,-3.2765753
Russian Empire (Poland),,
Spain,39.3260685,-4.8379791
Russia,64.6863136,97.7453061
International,50.109345950000005,14.393264664529315
Poland,52.215933,19.134422
Germany,51.1638175,10.4478313
Austrian Empire (Czech Republic),,
Hungary (Slovakia),48.1489797,17.10671267865197
Tuscany (Italy),43.4586541,11.1389204
Italy,42.6384261,12.674297
United States of America,39.7837304,-100.445882
Bavaria (Germany),48.9467562,11.4038717
British India (India),-5.34970935,71.86064227010121
Austrian Empire (Italy),,
New Zealand,-41.5000831,172.8344077
East Friesland (Germany),53.3746573,7.607470007393393
Russian Empire (Ukraine),,
Denmark,55.670249,10.3333283
Luxembourg,49.6112768,6.129799
Belgium,50.6402809,4.6667145
Hesse-Kassel (Germany),51.34642071613726,9.503012102803602
Germany (Russia),52.4182671,13.367614888753156
Mecklenburg (Germany),53.74481135,11.79509819736905
Austria,47.59397,14.12456
Prussia (Russia),55.0794927,21.9053947
India,22.3511148,78.6677428
Ireland,52.865196,-7.9794599
Canada,61.0666922,-107.991707
Scotland,56.7861112,-4.1140518
"Java, Dutch East Indies (Indonesia)",,
Austrian Empire (Austria),,
Germany (Poland),52.51709185,13.38216063774718
W&uuml;rttemberg (Germany),,
Argentina,-34.9964963,-64.9672817
Austria-Hungary (Hungary),48.11470535,22.3077333344527
Austria-Hungary (Austria),48.11470535,22.3077333344527
Austria-Hungary (Croatia),,
Russian Empire (Finland),,
Austria-Hungary (Poland),,
Chile,-31.7613365,-71.3187697
Australia,-24.7761086,134.755
Austria-Hungary (Czech Republic),,
Portugal,39.6621648,-8.1353519
Japan,36.5748441,139.2394179
South Africa,-28.8166236,24.991639
Germany (France),45.6143558,4.6831358
Iceland,64.9841821,-18.1059013
China,35.0000663,104.999955
French Algeria (Algeria),41.03134373182623,28.979155737835622
Guadeloupe Island,,
Brazil,-10.3333333,-53.2
Southern Rhodesia (Zimbabwe),,
Bosnia (Bosnia and Herzegovina),44.3053476,17.5961467
Hungary,47.1817585,19.5060937
Russian Empire (Azerbaijan),,
Ottoman Empire (Turkey),37.79966125,29.03222335856533
Egypt,26.2540493,29.2675469
Union of Soviet Socialist Republics (Russia),,
Austria-Hungary (Ukraine),,
Guatemala,15.5855545,-90.345759
Vietnam,15.9266657,107.9650855
Romania,45.9852129,24.6859225
Austria-Hungary (Bosnia and Herzegovina),,
Russian Empire (Russia),54.6364256,21.8107838
Northern Ireland,54.5859836,-6.9591554
Russian Empire (Belarus),,
British West Indies (Saint Lucia),,
Crete (Greece),35.3084952,24.46334231842296
Ottoman Empire (Republic of Macedonia),,
India (Pakistan),28.5938052,77.19104245
Russian Empire (Lithuania),54.6452346,24.935773784347056
Poland (Ukraine),52.21494885,21.022061737314992
Bulgaria,42.6073975,25.4856617
Lithuania,55.3500003,23.7499997
Colombia,4.099917,-72.9088133
Mexico,23.6585116,-102.0077097
Madagascar,-18.9249604,46.4416422
Russian Empire (Latvia),,
Austria-Hungary (Slovenia),,
Poland (Lithuania),52.2257425,21.0239737
Venezuela,8.0018709,-66.1109318
German-occupied Poland (Poland),,
Nigeria,9.6000359,7.9999721
West Germany (Germany),50.09730505,8.587923772688573
Korea (South Korea),37.9528488,126.73311710879328
Costa Rica,10.2735633,-84.0739102
Tibet (People's Republic of China),31.6692025,87.47322500528882
Burma (Myanmar),17.1750495,95.9999652
Poland (Belarus),52.1718136,21.0819034
British Mandate of Palestine (Israel),,
East Timor,-8.7443169,126.063482
Free City of Danzig (Poland),,
Union of Soviet Socialist Republics (Belarus),,
Trinidad,10.4430243,-61.26130538878063
Gold Coast (Ghana),,
Iran,32.6475314,54.5643516
British Protectorate of Palestine (Israel),,
Kenya,1.4419683,38.4313975
Turkey,39.294076,35.2316631
British India (Bangladesh),,
Persia (Iran),32.6475314,54.5643516
Czechoslovakia (Czech Republic),,
Finland,63.2467777,25.9209164
Cyprus,34.9174159,32.889902651331866
Peru,-6.8699697,-75.0458515
Liberia,5.7499721,-9.3658524
Yemen,16.3471243,47.8915271
Morocco,28.3347722,-10.371337908392649
Ukraine,49.4871968,31.2718321
Taiwan,23.5983227,120.83537694479215
Saint Lucia,13.8250489,-60.975036
Pakistan,30.3308401,71.247499
